uuid,urban_percentage,urban_built_up_area_m2,polygon_total_area_m2
aa2431ac5d8a49ccb1c48d3e5ad93a9b,0.0,0.0,191628018.47203502
98be14ee42254c2cb39d0388b5e22333,0.0,0.0,38188.17140934877
986ebdf10cd84da183dccfff860bc63e,0.0,0.0,99849385.24792361
9822aa477e304443ba7f233c5dcbe82e,0.0,0.0,1156804122.0507886
97b61a4fa8554bd49cde19c4b931e19c,0.0,0.0,20632962.1938809
960da5abd9ed4b08aa791a7b6fe651f8,0.0,0.0,2239298.0009215325
a4aec5229597492ebb55c667480871a4,0.0,0.0,68002787.91473156
a46ed5bd7aef4c6eb3895b16eb614949,0.0,0.0,1118803.985027196
a4173edb051048dbaacc38ada188fae3,0.0,0.0,71639.03755710568
a2d061731ead426589390dde4f35ba4c,0.0,0.0,309490.72922258807
9f982a121f494a9e94306cf3bf17065c,0.0,0.0,526282371.5334153
9fcf32105dcc47ff992b1ca65f4ea8d5,0.0,0.0,18310364.055179097
9c4d44d36b1042419619338b8c1aa5a9,0.0,0.0,10932353.895339986
f6a81ecdb6224bbfbdbc3aaaef4b3627,0.0,0.0,2045458.2462901857
f563da9ac06d4019852d75b3c7711af7,0.0,0.0,14452203.98316189
f4a43721a0d44494b8d576e84271bd46,0.0,0.0,1763657.84767014
f3f9d8d6220e4ba4bce7a45d2d52f49a,0.0,0.0,708305.5623038218
f4401289d60046d1a8fae0698386185e,0.0,0.0,31068630.841172412
d8374adff24e415e8dba1a66e55df7e4,0.0,0.0,13301377.967398014
d7a0f3046c15458cb4b4dd0bf798627d,0.0,0.0,2937805.6662657103
f0a75c9dda4a47d08bbe21f793fbd98c,0.0,0.0,3463184466.717739
eee18cbe6bfe4958880a25df36e691b9,0.0,0.0,9613857.401983242
ee21aa9a91f24974b3497b2ab0868ff0,0.0,0.0,4882728.637274435
edd79051bd03492789f997d266f1cdd4,0.0,0.0,17722883.494686287
ed9dc7ff02cb4ed4aaa4fde675536a6b,0.0,0.0,3488331.9338077437
ed5d57a475604e2db9784d787bf7ea04,0.0,0.0,341544915.1620199
de0c745b4d984854b19bfc27eb4284f6,0.0,0.0,24830407.960290674
dd7bafff32f44219bcb70053ba28580a,0.0,0.0,9449602.49113113
dd4720fc09eb47b3b1fc500c8d65a72f,0.0,0.0,133735018.7212639
d867a63996034609bbb4130c7c2102af,0.0,0.0,3184512.5263264454
d873447c74314db5af1e7a3331736736,0.0,0.0,7313317.675512195
e7bf616250f04aa3b76e7f7cfb0b7517,0.0,0.0,958261.1245674375
e79c1c35366648fbb28bf435a3a33585,0.0,0.0,195780190.346869
e5e2c0a36a5b4230b0ff9e015769642a,0.0,0.0,442119.7970614123
e3a188e1ce4e475da63f538f59cdd9cc,0.0,0.0,27872212.10651508
e34c1fe5eecd4b56bd8342bc520f3566,0.0,0.0,2394804.675592495
e2dc20def1494c87ac1e798302e5e536,0.0,0.0,1529352.2086660976
e22089fe68e9467094dea2ce0c70c87a,0.0,0.0,29378351.378916644
df765c1786c54eec9c7c59da19b277ee,0.0,0.0,1279900.0198184384
ff97143c9bb14f62aec85837c1eb74ce,0.0,0.0,952798.1678626557
fd2d744e0b1041ecb0cf520cded34633,0.0,0.0,4143927.7605801644
fca212f705144c5e8efcfbe70ed49bf3,0.0,0.0,5101457.349205132
f931e584887d4457910c5451f5e57a59,0.0,0.0,2179217427.5794883
f8bfaccdb227411cbec7be691baba33f,0.0,0.0,3913702.401880767
f7d94c75d2414b3e93b5711da7cfefb0,0.0,0.0,23237295.289289296
414cf7052f484418944ec3896f62e542,0.0,0.0,3870183.969155028
228de15a5e3e4cf1acdbf36ab52e5444,0.0,0.0,30505233.668605965
21f936b1d44244a995f085f667ac24de,0.0,0.0,42265117.73296116
3ca9e9cba8584a7083007a9605e2e22a,0.0,0.0,7373937.243260585
39a7073e73af4747a56d907cd9f1768e,0.0,0.0,22140878.56288651
38a2546dd29b4cb08bbd1fb86f6e6520,0.0,0.0,87064460.21116339
2a7f263f612747fa8679b809a63a82ca,0.0,0.0,12702251.893691294
296abe280da946ba8c1731c108c1ffc1,0.0,0.0,7462163.322304138
2844ab4fe9f74e0290c929e8400a4cf7,0.0,0.0,35494715.37018403
2454d30d99dd4918868be3952d610c49,0.0,0.0,1509539.082559504
23fae607a62340399f7389aace65a630,0.0,0.0,342099.3406410283
35cb1a94fcc0461d89a365038cdc7e65,0.0,0.0,1971750.2934289207
352f931c7172401385da5874d11254e2,0.0,0.0,18022146.75118414
34a985d0324649adaabe0c03d39b9aa9,0.0,0.0,5828586.07628399
3089e1b1d29c4095acff77dc9d26e572,0.0,0.0,252478568.66571033
2f22ec51b5c54bb89ab98fa796ae51be,0.0,0.0,47918061.79499425
2cb9a116e21848e797f278f07e870bbd,0.0,0.0,1283940.1347717547
2cc0b47139e541edb16323fb3c487daa,0.0,0.0,68313021.3009262
2bdb9b4a786e464ab68f16c7bcda9bc0,0.0,0.0,2571167.8038427136
2baefa1011ef433784a10490f1c8d61f,0.0,0.0,351952.1446377004
2166d020ae90484082bde7d2088f616e,0.0,0.0,3579034.2521734894
20df836cd9df4f798f4fb7c0b94cb73a,0.0,0.0,10210403.637175815
1fc7bacf7bf5406f8fd39668d9ca82d0,0.0,0.0,20104452.549388047
1ed5053610374dd8a6061db80386af94,0.0,0.0,37113508.54973731
1e48a07703d84c5fa4d4ca3b3a0f3fe5,0.0,0.0,1048767.4800586256
18ea297eb4af4f3c8490694b5d61c09e,0.0,0.0,11340398.994761286
183af680cd7248e196fe281940bc1f8e,0.0,0.0,21748666.866467908
060bb177cec04cd4a4d260f2ce98a366,0.0,0.0,3073602.1831140583
05d37f24fcdd480688c7795ee7302fc0,0.0,0.0,41486551.92071223
03018ba8fffe47b1a2b7828981d1b77e,0.0,0.0,1384388.8144782921
02b0a7c31f1743d48f72f33384974a62,0.0,0.0,11529084.456019944
02198386e8f64571980f87c2869253fb,0.0,0.0,10667931.613895303
02329bd1f8254f6bbb6621a65a6662af,0.0,0.0,156294355.85553384
018b37a39cd34222b1f80cd6eb4a6188,0.0,0.0,18153278.9041094
1362c1413461471cbddeb7b6cef41ccc,0.0,0.0,2415111893.139979
1252e69b74744d42bf2020056ba82f1f,0.0,0.0,816699978.961624
120719abc6df4987ab489fa06c7d397a,0.0,0.0,265276003.2795553
1004813a98534d168dc3eea705138e32,0.0,0.0,32214657.25238738
0e900d75f9d14f15a01468e952c08f72,0.0,0.0,312631.5450579926
0c65d9b40b884112a2e45939c7f6203f,0.0,0.0,12295744.663914397
0acac1075fc042c8b7b6a3951a16631f,0.0,0.0,15170115.239349172
0728a0c983b74698b7309eecfd703836,0.0,0.0,10836455.758707637
6360ddfbd47f4cad90bdfcf9c1fb3dc9,0.0,0.0,10526741.229354782
62d54090b55f49cf806fd27f4621bba3,0.0,0.0,24588077.411546424
